book_name,book_author,book_author_link,book_name_link,edit_status,book_category,book_tags,book_total_words,book_count_recommends,book_total_clicks,book_summary,book_catalogue_link
猎场风云,霁雪斋,http://home.zongheng.com/show/userInfo/52999305.html,http://book.zongheng.com/book/1202013.html,连载中,都市娱乐,"职场,猎头,爱情,升级",603000,39000,84000,许静被魏东拽进智亚做小助理，看到魏总充满阳光和美景的大办公室，她想的是……我想要这间屋，也要当合伙人！,http://book.zongheng.com/showchapter/1202013.html
我在网游当剑仙,大白电风扇,http://home.zongheng.com/show/userInfo/53227572.html,http://book.zongheng.com/book/1198612.html,连载中,科幻游戏,"网游,科幻,修仙",275000,170000,18120000,新世界，一款宣传了五年的游戏，终于要在公元3000年的新年第一天开放公测。这是一场玩家们的狂欢，在盛大的宴会背后，还有更深层次的东西需要玩家们自己挖掘。而他，只是芸芸众生中的一员。,http://book.zongheng.com/showchapter/1198612.html
道断修罗,列夕,http://home.zongheng.com/show/userInfo/52771140.html,http://book.zongheng.com/book/1068044.html,连载中,奇幻玄幻,"古典仙侠,热血",6230000,42320000,741000,少年李夜，生下即渡劫，誓要走一条与众不同的修行之路。随先生上天山修行，披一肩风雨，斩一山飞雪......下山回城遇退婚风波，狠心女人欲要斩草除根......行一路烟雨，踏一江春水......少年国师笑傲南疆，灭敌于南云城前......遇外敌内匪，踏修罗刀山......身陷黑洞，降临修罗域，天途道断，且看我如何踏天而行，搅动两界风云。,http://book.zongheng.com/showchapter/1068044.html
穿越异界去驯龙,南之烟雨,http://home.zongheng.com/show/userInfo/53805716.html,http://book.zongheng.com/book/1209818.html,连载中,二次元,"爽文,穿越,热血,异世",163000,250000,8250000,一次车祸让游戏高手陈淼在无意中进入一个充斥着危险和机遇的驯龙世界随着一声“欢迎来到驯龙大陆，编号12138的玩家”你以为仅仅只是打怪、升级、加点？不真正的游戏才刚刚开始。。。,http://book.zongheng.com/showchapter/1209818.html
问道仙君,邻风,http://home.zongheng.com/show/userInfo/53943976.html,http://book.zongheng.com/book/1220296.html,连载中,武侠仙侠,"热血,爽文",34000,0,650000,天才少年秦龙遭人暗算，失去丹田暴毙而亡，借尸重生，凭借奇门遁甲之术，独创一条内力基础修炼法门，成为登峰造极的大道仙君。,http://book.zongheng.com/showchapter/1220296.html
魔石传说,救赎君也,http://home.zongheng.com/show/userInfo/53963428.html,http://book.zongheng.com/book/1221076.html,连载中,奇幻玄幻,"热血,穿越,升级,异世",41930000,0,310000,人类这个物种，最可怕的不是无知和弱小，而是傲慢！一体双魂少年，行走在混沌之间，沉入深渊，飞向光明，于微末中崛起，走上属于他的救赎之路，终成魔石传说！,http://book.zongheng.com/showchapter/1221076.html
无书,安徳李,http://home.zongheng.com/show/userInfo/53947887.html,http://book.zongheng.com/book/1219930.html,连载中,评论文集,现实,47000,10000,340000,没有固定的情节，没有固定的内容，我是作者，你们也可以是作者,http://book.zongheng.com/showchapter/1219930.html
末来未米,安徳李,http://home.zongheng.com/show/userInfo/53947887.html,http://book.zongheng.com/book/1219866.html,连载中,评论文集,现实,38000,30000,450000,以自己的思想，来书写与描写，最可笑的现实人生，可可笑的背后，却是努力坚持奋斗的人们，所有本我存在意义是何的，都会知道，存在的意义是存在,http://book.zongheng.com/showchapter/1219866.html
大周斩妖人,墨皇太一,http://home.zongheng.com/show/userInfo/51737565.html,http://book.zongheng.com/book/1200948.html,连载中,武侠仙侠,"穿越,历史仙侠,推理",298000,12990000,24000,这是一个人妖魔并立的世界，儒家、道家、术士、佛道、武道……并存，修为分九品，修炼至高深层次，皆有莫大的威能。有儒家先贤言出法随，舌绽莲花……有术士夜观天象可推演万物……有武道强者搬山填海、移星换月……更有那魅惑狐妖幻化成人形，明眸皓齿，玉手搭在陆九章左肩，口吐人言，“敢问公子，我美吗？”,http://book.zongheng.com/showchapter/1200948.html
彻元,妖精吃俺一棒,http://home.zongheng.com/show/userInfo/53379682.html,http://book.zongheng.com/book/1168195.html,连载中,历史军事,"穿越,争霸,军事,战争",1092000,19570000,54000,彻，摧毁也！在大元最强大的时候，把它送进坟墓，才算痛快！滚滚铁骑！漫卷亚欧！人类所有已知世界都在马鞭之下颤抖！如果是你，在这个时候，是选择屈服？还是，亡命一搏？反正，林彻，宁愿灿烂的死去，也不愿为四等人！,http://book.zongheng.com/showchapter/1168195.html
